timestamp,mid_price,spread,bid_prices,ask_prices,bid_quantities,ask_quantities,order_imbalance
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[13811, 11651, 7891, 5334, 4387]","[16358, 9558, 8910, 6253, 3551]",-0.017741
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[16416, 11935, 7297, 5066, 4296]","[17633, 12107, 8847, 5742, 3689]",-0.032334
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[16294, 12674, 8104, 4785, 3825]","[16960, 11055, 7016, 4713, 3904]",0.02277
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14053, 10443, 6916, 5980, 4075]","[14509, 12549, 7837, 6114, 3581]",-0.03629
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14221, 12141, 7479, 5395, 3686]","[14397, 10545, 7096, 5229, 3313]",0.028047
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[15863, 11351, 7970, 5695, 3689]","[14175, 11800, 7027, 5359, 3446]",0.031965
2020-02-04T09:30:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[18423, 11083, 8275, 5899, 3617]","[15527, 9864, 7348, 4788, 4136]",0.063332
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[15543, 12206, 7570, 5292, 4127]","[13802, 12799, 8148, 5593, 4005]",0.004389
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[15152, 11380, 8037, 5263, 3443]","[14576, 11768, 6984, 5906, 4295]",-0.002926
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[15882, 10694, 8963, 4845, 3707]","[17445, 10756, 8020, 6258, 4095]",-0.027387
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14256, 12777, 7023, 4944, 3993]","[17754, 10836, 7997, 5407, 3435]",-0.02755
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[18200, 10763, 8682, 6307, 3587]","[17033, 10946, 7804, 4780, 3873]",0.033737
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14291, 11298, 7070, 4813, 3344]","[15351, 10425, 7315, 5001, 4375]",-0.019824
2020-02-04T09:31:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14412, 12771, 7312, 6116, 3958]","[13643, 12102, 8755, 5900, 3950]",0.002463
2020-02-04T09:32:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[18300, 12270, 8335, 4694, 4181]","[15876, 9925, 9016, 5103, 4122]",0.040709
2020-02-04T09:32:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[17171, 9869, 8194, 5029, 4030]","[18366, 11820, 7167, 5751, 3967]",-0.030406
2020-02-04T09:32:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[15860, 10630, 8086, 6018, 4157]","[16945, 10340, 8138, 5364, 4334]",-0.004117
2020-02-04T09:32:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[15686, 12613, 8386, 5361, 3455]","[16248, 10557, 8043, 6104, 3315]",0.013747
2020-02-04T09:32:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14634, 10703, 7226, 5540, 3722]","[17855, 11850, 7840, 5082, 3576]",-0.049734
2020-02-04T09:32:00,301.085,0.030108,"[301.0699, 301.0639, 301.0579, 301.0519, 301.0458]","[301.1, 301.1061, 301.1121, 301.1181, 301.1241]","[14121, 11445, 7526, 6217, 4363]","[15715, 9849, 7773, 5685, 3880]",0.008894
