timestamp,mid_price,spread,bid_prices,ask_prices,bid_quantities,ask_quantities,order_imbalance
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[74344, 49551, 40909, 23780, 19686]","[65628, 58900, 35102, 24923, 16882]",0.016683
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[78872, 58107, 42368, 28962, 18269]","[65113, 60930, 37246, 27872, 17348]",0.04153
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[81591, 60791, 33860, 25407, 18139]","[83713, 55338, 31760, 22959, 20127]",0.013584
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[76950, 49382, 39774, 24463, 18322]","[74891, 47419, 41550, 28118, 15751]",0.002789
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[78308, 46331, 40142, 29406, 19734]","[79587, 54648, 41060, 29628, 17836]",-0.020239
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[70611, 49790, 34253, 28052, 19437]","[85801, 48518, 37312, 28546, 20971]",-0.044898
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[84013, 56586, 34193, 29072, 17634]","[67546, 55768, 37217, 23582, 17888]",0.046038
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[68539, 52843, 40217, 26957, 16163]","[72814, 47537, 42571, 28371, 19332]",-0.01422
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[82786, 48685, 34679, 22680, 20152]","[80139, 60588, 42798, 26181, 16882]",-0.040421
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[78799, 45959, 37673, 26742, 19071]","[74565, 60428, 42611, 22995, 17684]",-0.023537
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[66306, 60914, 32599, 28241, 17863]","[67304, 46882, 36403, 25160, 19062]",0.027729
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[70601, 48705, 32547, 26030, 19390]","[84390, 52050, 42300, 28390, 15939]",-0.061369
2020-03-16T09:30:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[83691, 55082, 38246, 26969, 19762]","[86531, 54441, 37854, 24237, 18529]",0.004846
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[84224, 49934, 37958, 24742, 17008]","[83740, 47093, 42279, 22788, 18123]",-0.000367
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[65619, 47132, 33907, 24226, 19642]","[67246, 48171, 42440, 25529, 18964]",-0.030096
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[79273, 52283, 40140, 29011, 17904]","[77816, 60080, 37027, 23516, 19683]",0.00112
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[75975, 53037, 39284, 29242, 15842]","[80985, 47118, 35211, 25092, 15581]",0.022505
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[79056, 50146, 42614, 27468, 17258]","[79542, 59099, 37604, 23693, 19225]",-0.006016
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[82915, 49283, 38443, 28352, 20219]","[84511, 45989, 32649, 28942, 16120]",0.025738
2020-03-16T09:31:00,220.3992,0.179057,"[220.3096, 220.2738, 220.238, 220.2022, 220.1664]","[220.4887, 220.5245, 220.5603, 220.5961, 220.6319]","[75212, 46992, 36582, 29036, 19048]","[71610, 50449, 35757, 26446, 15834]",0.016645
