issue_month,state_date,uncertainty_pressure,structural_fragility,liquidity_disruption,stabilization_strength,trajectory_fragility,dominant_field,signal_coherence,shock_intensity,structural_instability,erosion_strength,macro_stress_score,environmental_confidence
2007-06-01,2007-06-01,0.03,0.0,0.0,0.05,0.11,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.15,0.172,0.9203
2007-07-01,2007-06-29,0.04,0.0,0.04,0.1,0.08,NONE,0.95,0.0,0.0,0.11,0.167,0.91555
2007-08-01,2007-08-01,0.09,0.05,0.37,0.15,0.12,MIXED,0.93,0.31,0.31,0.17,0.242,0.8568
2007-09-01,2007-08-31,0.17,0.0,0.27,0.08,0.23,TRANSITIONAL,0.85,0.19,0.56,0.32,0.267,0.7960499999999999
2007-10-01,2007-10-01,0.22,0.0,0.0,0.13,0.25,TRANSITIONAL,0.86,0.0,0.03,0.32,0.23550000000000001,0.774575
2007-11-01,2007-11-01,0.23,0.0,0.3,0.18,0.19,MIXED,0.94,0.13,0.24,0.26,0.2635,0.758275
2007-12-01,2007-11-30,0.23,0.46,0.54,0.12,0.22,MIXED,0.95,0.32,0.38,0.25,0.4295,0.700175
2008-01-01,2007-12-31,0.25,0.0,0.0,0.17,0.2,TRAJECTORY_DEGRADATION,0.88,0.0,0.01,0.25,0.22699999999999998,0.75805
2008-02-01,2008-02-01,0.26,0.32,0.07,0.22,0.15,SLOW_STRUCTURAL,0.91,0.19,0.37,0.18,0.3025,0.725125
2008-03-01,2008-02-29,0.29,0.0,0.19,0.27,0.37,TRANSITIONAL,0.81,0.12,0.02,0.47,0.2845,0.711925
2008-04-01,2008-04-01,0.3,0.57,0.53,0.2,0.37,MIXED,0.88,0.19,0.47,0.39,0.491,0.63315
2008-05-01,2008-05-01,0.32,0.0,0.1,0.25,0.32,TRAJECTORY_DEGRADATION,0.86,0.06,0.0,0.33,0.27149999999999996,0.696975
2008-06-01,2008-05-30,0.32,0.0,0.0,0.3,0.26,TRAJECTORY_DEGRADATION,0.87,0.0,0.0,0.27,0.237,0.70905
2008-07-01,2008-07-01,0.33,0.0,0.28,0.35,0.33,TRAJECTORY_DEGRADATION,0.84,0.07,0.02,0.39,0.28800000000000003,0.6847
2008-08-01,2008-08-01,0.31,0.12,0.11,0.29,0.32,MIXED,0.97,0.28,0.31,0.36,0.2945,0.695425
2008-09-01,2008-08-29,0.31,0.0,0.07,0.34,0.32,TRAJECTORY_DEGRADATION,0.91,0.13,0.25,0.34,0.251,0.71065
2008-10-01,2008-10-01,0.33,0.53,1.0,0.18,0.55,TRANSITIONAL,0.87,0.93,0.6,0.79,0.598,0.5762
2008-11-01,2008-10-31,0.38,1.0,1.0,0.01,0.48,MIXED,0.76,1.0,1.0,0.48,0.7394999999999999,0.49417500000000003
2008-12-01,2008-12-01,0.42,1.0,1.0,0.0,0.46,MIXED,0.76,1.0,1.0,0.48,0.747,0.46555
2009-01-01,2008-12-31,0.45,0.84,0.0,0.0,0.47,MIXED,0.76,0.11,0.7,0.47,0.5665,0.509225
2009-02-01,2009-01-30,0.43,0.72,0.07,0.0,0.48,MIXED,0.93,0.69,0.6,0.53,0.544,0.5301
2009-03-01,2009-02-27,0.44,1.0,0.13,0.0,0.49,TRANSITIONAL,0.83,0.85,0.95,0.55,0.6275000000000001,0.494375
2009-04-01,2009-04-01,0.46,0.72,0.06,0.0,0.46,MIXED,0.78,0.67,1.0,0.47,0.546,0.5099
2009-05-01,2009-05-01,0.5,0.92,0.0,0.0,0.48,MIXED,0.7,0.06,0.77,0.56,0.601,0.46465
2009-06-01,2009-06-01,0.47,0.51,0.0,0.0,0.48,MIXED,0.91,0.64,0.43,0.54,0.491,0.5226500000000001
2009-07-01,2009-07-01,0.48,0.0,0.0,0.05,0.44,TRANSITIONAL,0.81,0.08,0.21,0.53,0.35050000000000003,0.565325
2009-08-01,2009-07-31,0.49,0.0,0.0,0.1,0.41,TRANSITIONAL,0.78,0.0,0.0,0.47,0.3395,0.562675
2009-09-01,2009-09-01,0.49,0.0,0.0,0.15,0.33,TRANSITIONAL,0.82,0.0,0.02,0.39,0.316,0.5709
2009-10-01,2009-10-01,0.46,0.0,0.0,0.2,0.22,TRAJECTORY_DEGRADATION,0.93,0.13,0.1,0.27,0.279,0.6033499999999999
2009-11-01,2009-10-30,0.44,0.06,0.0,0.12,0.29,MIXED,0.97,0.44,0.36,0.38,0.315,0.60375
