issue_month,state_date,uncertainty_pressure,structural_fragility,liquidity_disruption,stabilization_strength,trajectory_fragility,dominant_field,signal_coherence,shock_intensity,structural_instability,erosion_strength,macro_stress_score,environmental_confidence,gov_state,gov_state_smooth
2007-06-01,2007-06-01,0.03,0.0,0.0,0.05,0.11,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.15,0.172,0.9203,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2007-07-01,2007-06-29,0.04,0.0,0.04,0.1,0.08,NONE,0.95,0.0,0.0,0.11,0.167,0.91555,NORMAL,NORMAL
2007-08-01,2007-08-01,0.09,0.05,0.37,0.15,0.12,MIXED,0.93,0.31,0.31,0.17,0.242,0.8568,CAUTIOUS,CAUTIOUS
2007-09-01,2007-08-31,0.17,0.0,0.27,0.08,0.23,TRANSITIONAL,0.85,0.19,0.56,0.32,0.267,0.7960499999999999,CAUTIOUS,CAUTIOUS
2007-10-01,2007-10-01,0.22,0.0,0.0,0.13,0.25,TRANSITIONAL,0.86,0.0,0.03,0.32,0.2355,0.774575,CAUTIOUS,CAUTIOUS
2007-11-01,2007-11-01,0.23,0.0,0.3,0.18,0.19,MIXED,0.94,0.13,0.24,0.26,0.2635,0.758275,CAUTIOUS,CAUTIOUS
2007-12-01,2007-11-30,0.23,0.46,0.54,0.12,0.22,MIXED,0.95,0.32,0.38,0.25,0.4295,0.700175,CAUTIOUS,CAUTIOUS
2008-01-01,2007-12-31,0.25,0.0,0.0,0.17,0.2,TRAJECTORY_DEGRADATION,0.88,0.0,0.01,0.25,0.2269999999999999,0.75805,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2008-02-01,2008-02-01,0.26,0.32,0.07,0.22,0.15,SLOW_STRUCTURAL,0.91,0.19,0.37,0.18,0.3025,0.725125,CAUTIOUS,CAUTIOUS
2008-03-01,2008-02-29,0.29,0.0,0.19,0.27,0.37,TRANSITIONAL,0.81,0.12,0.02,0.47,0.2845,0.711925,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2008-04-01,2008-04-01,0.3,0.57,0.53,0.2,0.37,MIXED,0.88,0.19,0.47,0.39,0.491,0.63315,DEFENSIVE,DEFENSIVE
2008-05-01,2008-05-01,0.32,0.0,0.1,0.25,0.32,TRAJECTORY_DEGRADATION,0.86,0.06,0.0,0.33,0.2714999999999999,0.696975,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2008-06-01,2008-05-30,0.32,0.0,0.0,0.3,0.26,TRAJECTORY_DEGRADATION,0.87,0.0,0.0,0.27,0.237,0.70905,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2008-07-01,2008-07-01,0.33,0.0,0.28,0.35,0.33,TRAJECTORY_DEGRADATION,0.84,0.07,0.02,0.39,0.288,0.6847,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
