issue_month,reviews_requested,capacity_utilization,reserve_flag
2007-06-01,1,0.000125,False
2007-07-01,0,0.0,False
2007-08-01,8,0.001,False
2007-09-01,4,0.0005,False
2007-10-01,18,0.00225,False
2007-11-01,12,0.0015,False
2007-12-01,41,0.005125,True
2008-01-01,79,0.009875,False
2008-02-01,71,0.008875,False
2008-03-01,136,0.017,False
2008-04-01,12,0.0015,True
2008-05-01,38,0.00475,False
2008-06-01,28,0.0035,False
2008-07-01,49,0.006125,False
2008-08-01,37,0.004625,False
2008-09-01,15,0.001875,False
2008-10-01,6,0.00075,True
2008-11-01,10,0.00125,True
2008-12-01,12,0.0015,True
2009-01-01,22,0.00275,True
2009-02-01,23,0.002875,True
2009-03-01,25,0.003125,True
2009-04-01,27,0.003375,True
2009-05-01,29,0.003625,True
2009-06-01,34,0.00425,True
2009-07-01,211,0.026375,True
2009-08-01,216,0.027,False
2009-09-01,182,0.02275,False
2009-10-01,297,0.037125,False
2009-11-01,273,0.034125,False
2009-12-01,243,0.030375,False
2010-01-01,242,0.03025,False
2010-02-01,240,0.03,False
2010-03-01,307,0.038375,False
2010-04-01,428,0.0535,False
2010-05-01,436,0.0545,False
2010-06-01,124,0.0155,True
2010-07-01,555,0.069375,False
2010-08-01,563,0.070375,False
2010-09-01,449,0.056125,False
2010-10-01,494,0.06175,False
2010-11-01,443,0.055375,False
2010-12-01,411,0.051375,False
2011-01-01,429,0.053625,False
2011-02-01,0,0.0,False
2011-03-01,0,0.0,False
2011-04-01,639,0.079875,False
2011-05-01,705,0.088125,False
2011-06-01,733,0.091625,False
2011-07-01,0,0.0,False
2011-08-01,726,0.09075,False
2011-09-01,729,0.091125,False
2011-10-01,904,0.113,False
2011-11-01,1019,0.127375,True
2011-12-01,1055,0.131875,True
2012-01-01,1166,0.14575,False
2012-02-01,1055,0.131875,False
2012-03-01,1158,0.14475,False
2012-04-01,1313,0.164125,False
2012-05-01,1339,0.167375,False
2012-06-01,1355,0.169375,False
2012-07-01,1640,0.205,False
2012-08-01,0,0.0,False
2012-09-01,0,0.0,False
2012-10-01,0,0.0,False
2012-11-01,0,0.0,False
2012-12-01,0,0.0,False
2013-01-01,0,0.0,False
2013-02-01,0,0.0,False
2013-03-01,0,0.0,False
2013-04-01,0,0.0,False
2013-05-01,0,0.0,False
2013-06-01,0,0.0,False
2013-07-01,5065,0.633125,False
2013-08-01,5285,0.660625,False
2013-09-01,4476,0.5595,False
2013-10-01,4816,0.602,False
2013-11-01,4718,0.58975,False
2013-12-01,0,0.0,False
2014-01-01,0,0.0,False
2014-02-01,0,0.0,False
2014-03-01,6885,0.860625,False
2014-04-01,7338,0.91725,False
2014-05-01,7438,0.92975,False
2014-06-01,6498,0.81225,False
2014-07-01,11177,1.397125,False
2014-08-01,6567,0.820875,False
2014-09-01,3739,0.467375,False
2014-10-01,14189,1.773625,False
2014-11-01,9005,1.125625,False
2014-12-01,3491,0.436375,False
2015-01-01,12499,1.562375,False
2015-02-01,8240,1.03,False
2015-03-01,8669,1.083625,False
2015-04-01,12090,1.51125,False
2015-05-01,0,0.0,False
2015-06-01,0,0.0,False
2015-07-01,0,0.0,False
2015-08-01,0,0.0,False
2015-09-01,8067,1.008375,False
2015-10-01,12947,1.618375,False
2015-11-01,11916,1.4895,False
2015-12-01,14245,1.780625,False
2016-01-01,9662,1.20775,False
2016-02-01,13411,1.676375,False
2016-03-01,18495,2.311875,False
2016-04-01,9738,1.21725,False
2016-05-01,7381,0.922625,False
2016-06-01,7440,0.93,False
2016-07-01,0,0.0,False
2016-08-01,0,0.0,False
2016-09-01,0,0.0,False
2016-10-01,7952,0.994,False
2016-11-01,8157,1.019625,False
2016-12-01,0,0.0,False
2017-01-01,0,0.0,False
2017-02-01,0,0.0,False
2017-03-01,0,0.0,False
2017-04-01,0,0.0,False
2017-05-01,0,0.0,False
2017-06-01,0,0.0,False
2017-07-01,0,0.0,False
2017-08-01,0,0.0,False
2017-09-01,0,0.0,False
2017-10-01,0,0.0,False
2017-11-01,0,0.0,False
2017-12-01,0,0.0,False
2018-01-01,0,0.0,False
2018-02-01,0,0.0,False
2018-03-01,2712,0.339,False
2018-04-01,0,0.0,False
2018-05-01,2505,0.313125,False
2018-06-01,1781,0.222625,False
2018-07-01,1645,0.205625,False
2018-08-01,1320,0.165,False
2018-09-01,894,0.11175,False
2018-10-01,0,0.0,False
2018-11-01,675,0.084375,False
2018-12-01,491,0.061375,False
