month,baseline_exposure,cris_exposure
2008-06-01,14318181.818181818,12954545.454545455
2008-07-01,14096385.542168675,12469879.51807229
2008-08-01,13732394.366197182,12464788.732394366
2008-09-01,14062500.0,11718750.0
2008-10-01,12343750.0,0.0
2008-11-01,11820652.173913043,0.0
2008-12-01,12107623.31838565,0.0
2009-01-01,12364016.736401673,0.0
2009-02-01,12923076.923076924,0.0
2009-03-01,12445652.173913043,0.0
2009-04-01,12775862.068965519,0.0
2009-05-01,12460815.047021942,0.0
2009-06-01,13356741.573033707,0.0
2009-07-01,12272727.272727273,9745989.304812834
2009-08-01,13235294.11764706,9926470.588235294
2009-09-01,12227171.492204899,9621380.846325168
2009-10-01,12192660.550458716,9000000.0
2009-11-01,13230897.009966778,11337209.302325582
2009-12-01,12466555.183946488,10209030.100334449
2010-01-01,12071307.30050934,9983022.0713073
2010-02-01,12392344.497607656,10406698.5645933
2010-03-01,12578018.995929444,10644504.74898236
2010-04-01,11517533.252720678,8234582.829504232
2010-05-01,10646739.130434781,7141304.347826088
2010-06-01,11370262.390670555,0.0
2010-07-01,11782841.8230563,7453083.109919571
2010-08-01,12147495.361781076,7875695.732838591
2010-09-01,11039558.417663293,8376264.949402025
2010-10-01,11915269.196822595,8645189.761694616
2010-11-01,11868867.082961641,9380017.841213204
2010-12-01,11122931.442080377,9302600.47281324
2011-01-01,11097826.086956521,9184782.608695654
2011-02-01,10365947.611710323,10030816.640986132
2011-03-01,9820441.988950277,9540745.85635359
2011-04-01,10019193.85796545,7332053.742802303
2011-05-01,9612676.056338029,7077464.788732394
2011-06-01,10683923.705722071,7847411.444141689
2011-07-01,11488000.0,11384000.0
2011-08-01,10524819.027921408,7531023.784901758
2011-09-01,11132075.47169811,7975326.56023222
2011-10-01,11118980.169971673,6260623.229461757
2011-11-01,11431451.612903226,5497311.8279569885
2011-12-01,8806793.11865902,3579620.6440229374
2012-01-01,11898539.584934665,7044581.091468101
2012-02-01,11912109.375,7980468.75
2012-03-01,11818805.765271105,8225806.451612903
2012-04-01,11359133.126934985,7671826.625386996
2012-05-01,11254411.764705881,7879411.7647058815
2012-06-01,9596541.786743516,7368352.108986115
2012-07-01,9595850.443051653,7397881.996974281
2012-08-01,9624469.459309835,9483299.501753092
2012-09-01,10142927.550517498,10118284.86939379
2012-10-01,10104582.46846559,10104582.46846559
2012-11-01,10005484.174240049,10005484.174240049
2012-12-01,10007418.397626111,10007418.397626111
2013-01-01,9254947.613504075,9254947.613504075
2013-02-01,9726887.977780718,9726887.977780718
2013-03-01,9600507.675571136,9600507.675571136
2013-04-01,7959443.677672789,7959443.677672789
2013-05-01,6872463.768115942,6872463.768115942
2013-06-01,10507844.75639967,10507844.75639967
2013-07-01,10578085.64231738,7028967.254408061
2013-08-01,10398453.526905475,7031323.970332965
2013-09-01,10154770.154770155,7780087.78008778
2013-10-01,10218730.091314504,8086642.599277979
2013-11-01,10506114.130434783,8545516.304347826
2013-12-01,10512589.928057553,10453637.090327738
2014-01-01,10499231.458947098,10494428.077366466
2014-02-01,10368299.90134824,10345609.996711608
2014-03-01,10176917.376806226,6676546.869210819
2014-04-01,10242956.196346028,6951078.5824345155
2014-05-01,10493700.961432202,7119571.223339596
2014-06-01,10779686.148523416,7525021.623625356
2014-07-01,10691182.342904853,7462155.588630341
2014-08-01,10716823.642208561,7877728.27251706
2014-09-01,10948795.18072289,8129518.072289157
2014-10-01,10685711.909514304,7727877.57817698
2014-11-01,10903863.745262884,7756457.72531254
2014-12-01,11589089.356250668,8677805.060318138
2015-01-01,11092159.175564937,8287807.300720139
2015-02-01,11174501.292944219,8392131.510897674
2015-03-01,11123588.155771663,8476298.46059919
2015-04-01,11104766.399244927,8499764.039641341
2015-05-01,11212775.591236807,11212775.591236807
2015-06-01,10888941.287432209,10888941.287432209
2015-07-01,10678269.553991182,10678269.553991182
2015-08-01,11154064.540550772,11154064.540550772
2015-09-01,10686083.499005966,7489860.83499006
2015-10-01,10769669.194621505,8814148.792630158
2015-11-01,10889905.1902273,7983621.004011182
2015-12-01,10378047.842473656,7723252.057534035
2016-01-01,10907314.152903475,8361270.556748954
2016-02-01,10851036.157114368,7208878.869331484
2016-03-01,10343495.851894232,7521149.209203482
2016-04-01,10233354.075917859,7099564.405724954
2016-05-01,10147156.26725566,7422970.734400883
2016-06-01,9816485.0004823,7148403.588309058
2016-07-01,8045479.653839073,7671929.66304548
2016-08-01,9375505.436247641,9375505.436247641
2016-09-01,9181500.975811698,9181500.975811698
2016-10-01,9133565.437569235,6178192.752017724
2016-11-01,8978839.87788188,5978524.055163701
2016-12-01,9560796.86209744,9560796.86209744
2017-01-01,10065873.741994511,10065873.741994511
2017-02-01,10089471.33947134,10089471.33947134
2017-03-01,10159896.537534537,10159896.537534537
2017-04-01,9972527.472527472,9972527.472527472
2017-05-01,10009595.740729276,10009595.740729276
2017-06-01,7293731.5392189035,7293731.5392189035
2017-07-01,6974062.437328698,6974062.437328698
2017-08-01,7253534.76660856,7253534.76660856
2017-09-01,6868939.280918992,6868939.280918992
2017-10-01,7544021.4657051815,7544021.4657051815
2017-11-01,7783603.038309116,7783603.038309116
2017-12-01,7652787.43913346,7652787.43913346
2018-01-01,7936046.511627909,7936046.511627909
2018-02-01,7719934.834123222,7719934.834123222
2018-03-01,7477013.095569797,5015324.602953468
2018-04-01,7777296.360485269,7266031.195840555
2018-05-01,7735223.160434257,5098009.6501809405
2018-06-01,9383813.611281423,6517473.942366647
2018-07-01,8366921.473245308,5649756.775538568
2018-08-01,8485570.187727654,5808349.677780891
2018-09-01,8957903.425505571,6438299.628559637
2018-10-01,9467441.860465117,9467441.860465117
2018-11-01,8262867.647058824,4080882.3529411764
2018-12-01,9435096.153846154,5180288.461538461
