Feature,Gain_Rank,Perm_Rank,SHAP_Rank,Consensus_Score
loan_amnt,1,1,1,1.0
fico_range_low,2,2,2,2.0
annual_inc,3,3,4,3.3333333333333335
dti,4,4,3,3.6666666666666665
tot_hi_cred_lim,7,5,8,6.666666666666667
total_bc_limit,6,16,7,9.666666666666666
mo_sin_old_rev_tl_op,11,8,14,11.0
inq_last_6mths,14,13,11,12.666666666666666
total_rev_hi_lim,12,10,17,13.0
revol_bal,13,9,19,13.666666666666666
emp_length_num,15,6,22,14.333333333333334
mths_since_recent_inq,16,17,13,15.333333333333334
percent_bc_gt_75,19,18,9,15.333333333333334
bc_open_to_buy,8,27,12,15.666666666666666
mort_acc,17,14,18,16.333333333333332
purpose_credit_card,21,19,10,16.666666666666668
home_ownership_RENT,28,7,15,16.666666666666668
avg_cur_bal,18,21,24,21.0
total_acc,27,12,25,21.333333333333332
num_il_tl,33,11,29,24.333333333333332
num_rev_accts,30,15,30,25.0
revol_util,23,25,27,25.0
mo_sin_old_il_acct,25,20,31,25.333333333333332
num_rev_tl_bal_gt_0,22,33,23,26.0
delinq_2yrs,32,22,28,27.333333333333332
verification_status_Verified,31,30,26,29.0
purpose_small_business,29,23,36,29.333333333333332
addr_state_NY,35,24,34,31.0
verification_status_Source_Verified,34,44,20,32.666666666666664
num_bc_sats,39,39,35,37.666666666666664
cr_hist_years,26,54,33,37.666666666666664
pct_tl_nvr_dlq,40,37,39,38.666666666666664
total_bal_ex_mort,37,36,45,39.333333333333336
tot_cur_bal,38,38,43,39.666666666666664
addr_state_OR,47,28,46,40.333333333333336
collections_12_mths_ex_med,45,34,48,42.333333333333336
home_ownership_MORTGAGE,57,31,40,42.666666666666664
num_op_rev_tl,44,42,49,45.0
purpose_other,58,26,52,45.333333333333336
mo_sin_rcnt_rev_tl_op,41,45,51,45.666666666666664
acc_open_past_24mths,5,128,5,46.0
addr_state_CO,54,41,47,47.333333333333336
num_tl_op_past_12m,9,127,6,47.333333333333336
purpose_debt_consolidation,73,29,41,47.666666666666664
mths_since_recent_bc,10,120,16,48.666666666666664
pub_rec_bankruptcies,60,32,56,49.333333333333336
addr_state_NJ,48,51,53,50.666666666666664
num_sats,50,48,55,51.0
open_acc,51,47,59,52.333333333333336
home_ownership_OWN,61,43,57,53.666666666666664
purpose_vacation,63,35,63,53.666666666666664
addr_state_WA,64,40,58,54.0
addr_state_FL,56,55,54,55.0
mo_sin_rcnt_tl,24,126,21,57.0
bc_util,20,125,32,59.0
addr_state_OK,59,58,62,59.666666666666664
addr_state_CA,65,49,65,59.666666666666664
