Feature,Gain_Rank,Perm_Rank,SHAP_Rank,Consensus_Score
int_rate,1,1,1,1.0
term_months,2,3,2,2.3333333333333335
dti,4,6,4,4.666666666666667
annual_inc,5,4,5,4.666666666666667
loan_amnt,10,2,6,6.0
avg_cur_bal,7,12,8,9.0
emp_length_num,12,5,10,9.0
fico_range_low,8,17,7,10.666666666666666
home_ownership_RENT,16,8,9,11.0
mo_sin_old_rev_tl_op,13,11,11,11.666666666666666
grade_C,6,10,21,12.333333333333334
mort_acc,9,14,16,13.0
total_bc_limit,14,15,12,13.666666666666666
installment,15,9,18,14.0
revol_bal,18,7,17,14.0
grade_B,11,13,23,15.666666666666666
mths_since_recent_inq,22,18,13,17.666666666666668
home_ownership_MORTGAGE,23,20,22,21.666666666666668
tot_hi_cred_lim,24,27,30,27.0
num_rev_tl_bal_gt_0,21,46,15,27.333333333333332
num_il_tl,31,25,28,28.0
total_acc,35,16,33,28.0
total_il_high_credit_limit,32,21,32,28.333333333333332
total_rev_hi_lim,28,22,36,28.666666666666668
percent_bc_gt_75,44,23,19,28.666666666666668
num_rev_accts,36,19,39,31.333333333333332
verification_status_Source_Verified,43,33,24,33.333333333333336
addr_state_CO,34,24,43,33.666666666666664
purpose_small_business,26,28,49,34.333333333333336
bc_util,25,42,38,35.0
addr_state_WA,41,26,44,37.0
bc_open_to_buy,30,37,47,38.0
mo_sin_rcnt_rev_tl_op,50,32,35,39.0
mo_sin_old_il_acct,38,34,46,39.333333333333336
revol_util,47,36,41,41.333333333333336
addr_state_NY,51,29,45,41.666666666666664
addr_state_CA,48,31,48,42.333333333333336
addr_state_OR,46,30,51,42.333333333333336
sub_grade_C1,52,41,54,49.0
num_bc_sats,60,39,53,50.666666666666664
total_bal_ex_mort,56,35,63,51.333333333333336
addr_state_GA,61,38,55,51.333333333333336
pub_rec,59,49,58,55.333333333333336
purpose_credit_card,65,44,60,56.333333333333336
addr_state_KS,64,43,69,58.666666666666664
acc_open_past_24mths,3,171,3,59.0
num_bc_tl,53,74,52,59.666666666666664
addr_state_TX,70,48,64,60.666666666666664
addr_state_IL,68,53,62,61.0
collections_12_mths_ex_med,78,40,71,63.0
mths_since_recent_bc,17,165,14,65.33333333333333
num_actv_rev_tl,27,144,34,68.33333333333333
num_tl_90g_dpd_24m,74,62,73,69.66666666666667
sub_grade_B4,80,54,77,70.33333333333333
pub_rec_bankruptcies,71,63,79,71.0
cr_hist_years,20,169,26,71.66666666666667
grade_D,19,167,29,71.66666666666667
pct_tl_nvr_dlq,42,136,40,72.66666666666667
delinq_2yrs,33,166,20,73.0
home_ownership_OWN,81,58,81,73.33333333333333
purpose_moving,89,45,90,74.66666666666667
addr_state_DC,88,52,84,74.66666666666667
purpose_other,96,47,82,75.0
num_tl_op_past_12m,29,170,27,75.33333333333333
addr_state_VT,90,51,88,76.33333333333333
mo_sin_rcnt_tl,37,168,25,76.66666666666667
num_actv_bc_tl,40,160,31,77.0
sub_grade_A4,95,50,94,79.66666666666667
initial_list_status_w,39,164,37,80.0
inq_last_6mths,45,159,42,82.0
sub_grade_B2,100,55,93,82.66666666666667
purpose_debt_consolidation,103,61,85,83.0
open_acc,85,68,96,83.0
grade_E,84,67,100,83.66666666666667
addr_state_NJ,57,140,57,84.66666666666667
addr_state_CT,101,56,99,85.33333333333333
sub_grade_C2,58,141,61,86.66666666666667
num_accts_ever_120_pd,62,142,56,86.66666666666667
tot_cur_bal,49,163,50,87.33333333333333
sub_grade_B5,94,70,101,88.33333333333333
purpose_vacation,102,57,107,88.66666666666667
addr_state_SC,54,157,59,90.0
sub_grade_C3,109,60,103,90.66666666666667
sub_grade_B3,107,66,105,92.66666666666667
addr_state_NH,63,146,72,93.66666666666667
addr_state_WV,67,139,76,94.0
addr_state_NV,66,148,68,94.0
sub_grade_D1,55,162,66,94.33333333333333
sub_grade_A2,119,59,108,95.33333333333333
purpose_medical,108,76,104,96.0
addr_state_AR,72,135,83,96.66666666666667
addr_state_MT,114,65,112,97.0
addr_state_VA,106,75,110,97.0
sub_grade_E5,113,64,115,97.33333333333333
verification_status_Verified,77,150,65,97.33333333333333
sub_grade_E1,111,72,113,98.66666666666667
addr_state_FL,75,155,67,99.0
addr_state_OK,69,158,70,99.0
addr_state_KY,116,71,111,99.33333333333333
addr_state_LA,73,151,75,99.66666666666667
num_op_rev_tl,83,143,78,101.33333333333333
addr_state_SD,115,69,120,101.33333333333333
tax_liens,117,73,116,102.0
purpose_wedding,86,118,102,102.0
addr_state_AL,76,161,74,103.66666666666667
num_sats,79,153,86,106.0
tot_coll_amt,82,156,80,106.0
grade_F,87,134,98,106.33333333333333
sub_grade_D2,99,132,95,108.66666666666667
addr_state_WI,92,149,87,109.33333333333333
sub_grade_C4,97,145,89,110.33333333333333
sub_grade_C5,98,138,97,111.0
chargeoff_within_12_mths,122,89,122,111.0
fico_range_high,121,92,121,111.33333333333333
delinq_amnt,123,90,123,112.0
addr_state_MD,91,154,91,112.0
addr_state_NM,110,109,117,112.0
addr_state_MS,93,152,92,112.33333333333333
acc_now_delinq,125,88,125,112.66666666666667
policy_code,124,91,124,113.0
addr_state_WY,112,130,109,117.0
grade_G,127,98,127,117.33333333333333
num_tl_120dpd_2m,126,105,126,119.0
addr_state_TN,104,147,106,119.0
sub_grade_A5,130,99,130,119.66666666666667
addr_state_MN,105,137,118,120.0
num_tl_30dpd,131,100,131,120.66666666666667
sub_grade_A3,128,106,128,120.66666666666667
sub_grade_B1,129,107,129,121.66666666666667
addr_state_MO,118,133,114,121.66666666666667
sub_grade_F2,120,131,119,123.33333333333333
sub_grade_E4,136,102,136,124.66666666666667
sub_grade_F3,139,97,139,125.0
sub_grade_D5,132,112,132,125.33333333333333
sub_grade_F1,138,101,138,125.66666666666667
sub_grade_E2,135,111,135,127.0
sub_grade_E3,137,110,137,128.0
sub_grade_G3,145,94,145,128.0
sub_grade_G4,146,95,146,129.0
sub_grade_F5,143,104,143,130.0
sub_grade_G5,147,96,147,130.0
sub_grade_G2,144,103,144,130.33333333333334
sub_grade_D4,133,125,133,130.33333333333334
sub_grade_D3,134,124,134,130.66666666666666
addr_state_ME,156,83,156,131.66666666666666
addr_state_IN,158,82,158,132.66666666666666
home_ownership_OTHER,140,122,140,134.0
addr_state_HI,161,81,161,134.33333333333334
addr_state_MI,162,79,162,134.33333333333334
sub_grade_G1,142,121,142,135.0
home_ownership_NONE,141,123,141,135.0
addr_state_NE,163,80,163,135.33333333333334
addr_state_OH,164,84,164,137.33333333333334
sub_grade_F4,148,120,148,138.66666666666666
addr_state_PA,169,78,169,138.66666666666666
application_type_Joint_App,170,77,170,139.0
purpose_house,152,113,152,139.0
addr_state_ND,166,87,166,139.66666666666666
addr_state_RI,167,86,167,140.0
addr_state_UT,168,85,168,140.33333333333334
addr_state_IA,154,114,154,140.66666666666666
purpose_educational,149,127,149,141.66666666666666
purpose_renewable_energy,150,126,150,142.0
addr_state_AZ,155,119,155,143.0
purpose_major_purchase,151,128,151,143.33333333333334
addr_state_MA,157,116,157,143.33333333333334
