Feature,Gain
int_rate,476919.76330280304
term_months,123973.9651670456
acc_open_past_24mths,37788.52801132202
dti,32202.42237854004
annual_inc,26814.636386871338
grade_C,21768.137187957764
avg_cur_bal,21001.05731868744
fico_range_low,19232.079588890076
mort_acc,15497.938833236694
loan_amnt,15453.393569946289
grade_B,13547.06121635437
emp_length_num,13439.60700416565
mo_sin_old_rev_tl_op,9244.011581420898
total_bc_limit,8994.687335014343
installment,7224.793393135071
home_ownership_RENT,7017.101405143738
mths_since_recent_bc,7017.003096580505
revol_bal,5791.494406700134
grade_D,4519.7865200042725
cr_hist_years,4478.023006439209
num_rev_tl_bal_gt_0,4346.238586425781
mths_since_recent_inq,4207.998010635376
home_ownership_MORTGAGE,4189.961709976196
tot_hi_cred_lim,4007.137536048889
bc_util,3273.031916618347
purpose_small_business,3241.410202026367
num_actv_rev_tl,3003.532702445984
total_rev_hi_lim,2785.463201522827
num_tl_op_past_12m,2756.9325971603394
bc_open_to_buy,2663.9950981140137
num_il_tl,2505.522886276245
total_il_high_credit_limit,2402.851411819458
delinq_2yrs,2225.0832014083862
addr_state_CO,2209.214406967163
total_acc,2180.306104660034
num_rev_accts,2046.8851985931396
mo_sin_rcnt_tl,2006.3538932800293
mo_sin_old_il_acct,1966.9682970046997
initial_list_status_w,1957.6936016082764
num_actv_bc_tl,1899.6636142730713
addr_state_WA,1835.379810333252
pct_tl_nvr_dlq,1807.8180055618286
verification_status_Source_Verified,1796.4870986938477
percent_bc_gt_75,1759.5867004394531
inq_last_6mths,1700.002402305603
addr_state_OR,1675.3975038528442
revol_util,1675.0715942382812
addr_state_CA,1348.9364948272705
tot_cur_bal,1340.766788482666
mo_sin_rcnt_rev_tl_op,1257.3881998062134
addr_state_NY,1200.7907123565674
sub_grade_C1,1184.3690948486328
num_bc_tl,1084.7706880569458
addr_state_SC,1080.0035991668701
sub_grade_D1,1024.0173873901367
total_bal_ex_mort,947.9117984771729
addr_state_NJ,855.9855003356934
sub_grade_C2,799.9927988052368
pub_rec,668.8396949768066
num_bc_sats,599.1327028274536
addr_state_GA,586.4531002044678
num_accts_ever_120_pd,555.2347068786621
addr_state_NH,515.7340002059937
addr_state_KS,492.4254951477051
purpose_credit_card,452.76669692993164
addr_state_NV,434.0143003463745
addr_state_WV,426.05809688568115
addr_state_IL,391.18730068206787
addr_state_OK,344.10730361938477
addr_state_TX,339.5667972564697
pub_rec_bankruptcies,334.0950012207031
addr_state_AR,325.1300964355469
addr_state_LA,318.9036979675293
num_tl_90g_dpd_24m,308.9176998138428
addr_state_FL,294.4567012786865
addr_state_AL,286.8453006744385
verification_status_Verified,249.32019805908203
collections_12_mths_ex_med,242.94549655914307
num_sats,237.60840320587158
sub_grade_B4,233.67020416259766
home_ownership_OWN,216.53660202026367
tot_coll_amt,199.10260009765625
num_op_rev_tl,195.0108995437622
grade_E,189.9290008544922
open_acc,189.26250076293945
purpose_wedding,166.36350059509277
grade_F,165.12030029296875
addr_state_DC,164.93739891052246
purpose_moving,163.54490089416504
addr_state_VT,160.29029846191406
addr_state_MD,158.0762004852295
addr_state_WI,125.84189796447754
addr_state_MS,114.06520080566406
sub_grade_B5,108.45090103149414
sub_grade_A4,102.6088981628418
purpose_other,86.77960014343262
sub_grade_C4,80.27409934997559
sub_grade_C5,70.63409805297852
sub_grade_D2,69.61320114135742
sub_grade_B2,69.3904037475586
addr_state_CT,65.88599967956543
purpose_vacation,59.03770065307617
purpose_debt_consolidation,52.95950126647949
addr_state_TN,50.655301094055176
addr_state_MN,44.60659980773926
addr_state_VA,42.34250068664551
sub_grade_B3,40.73990058898926
purpose_medical,39.40059947967529
sub_grade_C3,38.66460037231445
addr_state_NM,37.0841007232666
sub_grade_E1,35.859500885009766
addr_state_WY,33.22319984436035
sub_grade_E5,25.70639991760254
addr_state_MT,21.845699310302734
addr_state_SD,21.010799407958984
addr_state_KY,20.705299377441406
tax_liens,19.766599655151367
addr_state_MO,18.45669937133789
sub_grade_A2,18.440099716186523
sub_grade_F2,18.352800369262695
fico_range_high,0.0
chargeoff_within_12_mths,0.0
delinq_amnt,0.0
policy_code,0.0
acc_now_delinq,0.0
num_tl_120dpd_2m,0.0
grade_G,0.0
sub_grade_A3,0.0
sub_grade_B1,0.0
sub_grade_A5,0.0
num_tl_30dpd,0.0
sub_grade_D5,0.0
sub_grade_D4,0.0
sub_grade_D3,0.0
sub_grade_E2,0.0
sub_grade_E4,0.0
sub_grade_E3,0.0
sub_grade_F1,0.0
sub_grade_F3,0.0
home_ownership_OTHER,0.0
home_ownership_NONE,0.0
sub_grade_G1,0.0
sub_grade_F5,0.0
sub_grade_G2,0.0
sub_grade_G3,0.0
sub_grade_G4,0.0
sub_grade_G5,0.0
sub_grade_F4,0.0
purpose_educational,0.0
purpose_renewable_energy,0.0
purpose_major_purchase,0.0
purpose_house,0.0
purpose_home_improvement,0.0
addr_state_IA,0.0
addr_state_AZ,0.0
addr_state_ME,0.0
addr_state_MA,0.0
addr_state_IN,0.0
addr_state_ID,0.0
addr_state_DE,0.0
addr_state_HI,0.0
addr_state_MI,0.0
addr_state_NE,0.0
addr_state_OH,0.0
addr_state_NC,0.0
addr_state_ND,0.0
addr_state_RI,0.0
addr_state_UT,0.0
addr_state_PA,0.0
application_type_Joint_App,0.0
disbursement_method_DirectPay,0.0
