Feature,Split
int_rate,393
annual_inc,345
loan_amnt,313
dti,308
acc_open_past_24mths,259
emp_length_num,207
mo_sin_old_rev_tl_op,204
fico_range_low,172
term_months,168
revol_bal,163
total_bc_limit,153
mort_acc,142
cr_hist_years,139
installment,133
avg_cur_bal,130
mths_since_recent_bc,130
bc_util,105
num_rev_tl_bal_gt_0,95
total_rev_hi_lim,83
num_il_tl,78
mo_sin_old_il_acct,78
total_il_high_credit_limit,74
home_ownership_RENT,72
revol_util,71
num_rev_accts,71
pct_tl_nvr_dlq,70
tot_hi_cred_lim,69
num_tl_op_past_12m,67
total_acc,66
bc_open_to_buy,65
mths_since_recent_inq,64
purpose_small_business,64
delinq_2yrs,62
num_actv_bc_tl,58
percent_bc_gt_75,57
inq_last_6mths,55
tot_cur_bal,52
num_actv_rev_tl,52
mo_sin_rcnt_tl,48
mo_sin_rcnt_rev_tl_op,47
num_bc_tl,46
total_bal_ex_mort,41
addr_state_CO,41
addr_state_OR,41
addr_state_WA,40
home_ownership_MORTGAGE,35
grade_B,34
initial_list_status_w,34
addr_state_NY,33
verification_status_Source_Verified,32
addr_state_SC,32
addr_state_CA,28
num_bc_sats,27
grade_C,26
addr_state_NJ,26
pub_rec,24
addr_state_GA,21
num_accts_ever_120_pd,20
grade_D,19
purpose_credit_card,18
addr_state_NV,18
addr_state_NH,17
sub_grade_C1,17
addr_state_WV,16
addr_state_KS,16
addr_state_IL,15
addr_state_LA,14
addr_state_AR,14
addr_state_OK,14
addr_state_FL,13
addr_state_AL,13
addr_state_TX,12
sub_grade_C2,11
pub_rec_bankruptcies,10
num_sats,10
home_ownership_OWN,10
num_tl_90g_dpd_24m,10
verification_status_Verified,10
open_acc,9
purpose_moving,9
num_op_rev_tl,9
tot_coll_amt,9
collections_12_mths_ex_med,9
sub_grade_D1,9
purpose_wedding,8
addr_state_DC,8
addr_state_VT,8
addr_state_MD,7
addr_state_MS,6
grade_F,6
addr_state_WI,6
purpose_other,4
sub_grade_A4,4
purpose_vacation,3
sub_grade_B4,3
sub_grade_C5,3
addr_state_CT,3
sub_grade_C4,3
addr_state_TN,3
addr_state_VA,2
addr_state_WY,2
addr_state_NM,2
addr_state_MN,2
purpose_medical,2
sub_grade_B5,2
purpose_debt_consolidation,2
sub_grade_B3,2
sub_grade_C3,2
sub_grade_D2,2
sub_grade_A2,1
sub_grade_E5,1
tax_liens,1
sub_grade_E1,1
sub_grade_F2,1
addr_state_MT,1
addr_state_KY,1
grade_E,1
addr_state_MO,1
addr_state_SD,1
sub_grade_B2,1
fico_range_high,0
chargeoff_within_12_mths,0
delinq_amnt,0
policy_code,0
acc_now_delinq,0
num_tl_120dpd_2m,0
grade_G,0
sub_grade_A3,0
sub_grade_B1,0
sub_grade_A5,0
num_tl_30dpd,0
sub_grade_D5,0
sub_grade_D4,0
sub_grade_D3,0
sub_grade_E2,0
sub_grade_E4,0
sub_grade_E3,0
sub_grade_F1,0
sub_grade_F3,0
home_ownership_OTHER,0
home_ownership_NONE,0
sub_grade_G1,0
sub_grade_F5,0
sub_grade_G2,0
sub_grade_G3,0
sub_grade_G4,0
sub_grade_G5,0
sub_grade_F4,0
purpose_educational,0
purpose_renewable_energy,0
purpose_major_purchase,0
purpose_house,0
purpose_home_improvement,0
addr_state_IA,0
addr_state_AZ,0
addr_state_ME,0
addr_state_MA,0
addr_state_IN,0
addr_state_ID,0
addr_state_DE,0
addr_state_HI,0
addr_state_MI,0
addr_state_NE,0
addr_state_OH,0
addr_state_NC,0
addr_state_ND,0
addr_state_RI,0
addr_state_UT,0
addr_state_PA,0
application_type_Joint_App,0
disbursement_method_DirectPay,0
