Feature,Permutation_Importance,Permutation_Std
int_rate,0.07456384161464129,0.008932957746359426
loan_amnt,0.012963177231895107,0.001478761968352112
term_months,0.007920148303912411,0.0034920502489746443
annual_inc,0.006666465440191375,0.0012712529751303715
emp_length_num,0.005363104790363986,0.00029524710741689114
dti,0.0044863023461330824,0.00130806747784987
revol_bal,0.003596189609000248,8.616857036379583e-05
home_ownership_RENT,0.0035320486699768803,0.0005422199574359421
installment,0.002960858935210179,0.0007274410270406792
grade_C,0.00279484709303209,0.0002083705374983883
mo_sin_old_rev_tl_op,0.0027201208029608384,0.0011626289217323642
avg_cur_bal,0.0022415790912277966,0.0009898459909408594
grade_B,0.0019862730006054616,0.0003357203577608392
mort_acc,0.001654563732617076,0.0006244224275940535
total_bc_limit,0.0015870690190042576,0.0009601934864438006
total_acc,0.001543050727517703,0.00016020479853280965
fico_range_low,0.0014129871567203727,0.0011103402314896807
mths_since_recent_inq,0.0012092453504108553,0.0006959657258819357
num_rev_accts,0.00112676345660138,0.0001074566204773973
home_ownership_MORTGAGE,0.0010613648521070236,0.00017143244704538054
total_il_high_credit_limit,0.0010218531952250014,3.817796780539319e-05
total_rev_hi_lim,0.0009766820437232167,0.000257465902992187
percent_bc_gt_75,0.0009529960106852142,0.00011280232205172721
addr_state_CO,0.0008414830055857673,0.00047285450510694855
num_il_tl,0.0008233516617115096,3.3896100124078942e-06
addr_state_WA,0.0007837351993735808,2.1729383696453877e-05
tot_hi_cred_lim,0.0006327105373921856,0.00016091163613189447
purpose_small_business,0.0006232780463593102,0.00027261009170095527
addr_state_NY,0.00057003687475173,8.94977229949223e-05
addr_state_OR,0.0005565169709379111,7.092488058195454e-05
addr_state_CA,0.00046868999887657764,0.0002141002833728029
mo_sin_rcnt_rev_tl_op,0.00046198244969775093,3.244266388621348e-05
verification_status_Source_Verified,0.0003529847755403548,9.051272469177242e-05
mo_sin_old_il_acct,0.00030435504399317637,8.90251868366668e-05
total_bal_ex_mort,0.0002884246146932871,0.00020295559626162986
revol_util,0.00019347087162939017,4.555048161303447e-05
bc_open_to_buy,0.00017963655144785187,0.00013569056778857784
addr_state_GA,0.00016024754210253178,0.00015076460637319884
num_bc_sats,0.00015783701661627644,0.0001404187394007353
collections_12_mths_ex_med,0.00015322557655583768,7.124258311214346e-05
sub_grade_C1,0.00014379308552303627,0.000133588193207743
bc_util,0.0001393912563743364,0.00041371183440480603
addr_state_KS,0.00011528600151256008,0.00011528876453236119
purpose_credit_card,0.00011088417236397123,2.644256399535721e-05
purpose_moving,0.00010061323768384423,2.774000659030835e-05
num_rev_tl_bal_gt_0,8.918944298848726e-05,6.819976982914812e-05
purpose_other,8.111942288258067e-05,2.193415695444093e-06
addr_state_TX,7.598395554242465e-05,8.321143999955136e-05
pub_rec,7.158212639383581e-05,8.031367297476421e-05
sub_grade_A4,6.571302086222364e-05,5.865586007397566e-05
addr_state_VT,5.8376638947773195e-05,1.8000317984914174e-05
addr_state_DC,4.957298065048447e-05,3.344295952175556e-05
addr_state_IL,4.779128789985284e-05,9.413712163087665e-05
