Feature,SHAP_Importance
int_rate,0.46364044988907555
term_months,0.2358918323062691
acc_open_past_24mths,0.11956549822903038
dti,0.11716760528862924
annual_inc,0.09727552036008445
loan_amnt,0.09542731504323515
fico_range_low,0.09142967707266213
avg_cur_bal,0.05154704456931283
home_ownership_RENT,0.0481657230291554
emp_length_num,0.04568988288074627
mo_sin_old_rev_tl_op,0.04448433036665022
total_bc_limit,0.03928083379656575
mths_since_recent_inq,0.038407525443379324
mths_since_recent_bc,0.03717786767843265
num_rev_tl_bal_gt_0,0.033966859931760573
mort_acc,0.03289914695290441
revol_bal,0.030472349968209914
installment,0.02590519341112126
percent_bc_gt_75,0.023218632889807904
delinq_2yrs,0.022955204147269898
grade_C,0.022598044655921943
home_ownership_MORTGAGE,0.020819955645987855
grade_B,0.0207708101059092
verification_status_Source_Verified,0.02049724140067098
mo_sin_rcnt_tl,0.020467588652960705
cr_hist_years,0.019778588675644512
num_tl_op_past_12m,0.01827569756605558
num_il_tl,0.01655032913833796
grade_D,0.015432040120535404
tot_hi_cred_lim,0.015216100496011081
num_actv_bc_tl,0.014180578260788581
total_il_high_credit_limit,0.013900152562325503
total_acc,0.013597053695531604
num_actv_rev_tl,0.013300872818182279
mo_sin_rcnt_rev_tl_op,0.013250278281028701
total_rev_hi_lim,0.01318144780349167
initial_list_status_w,0.013108136618036613
bc_util,0.013019886620980739
num_rev_accts,0.012333839113013145
pct_tl_nvr_dlq,0.0118854006204369
revol_util,0.011195701252332164
inq_last_6mths,0.010488079558566003
addr_state_CO,0.009078122580788803
addr_state_WA,0.008927207347448162
addr_state_NY,0.008471829551560678
mo_sin_old_il_acct,0.008239438133841566
bc_open_to_buy,0.007788187978893038
addr_state_CA,0.007662252035467293
purpose_small_business,0.007262816659907459
tot_cur_bal,0.006874264756216503
addr_state_OR,0.005121519840189157
num_bc_tl,0.004941958354785203
num_bc_sats,0.00417289904252988
sub_grade_C1,0.004149369692776374
addr_state_GA,0.004061451382038543
num_accts_ever_120_pd,0.004060456143927007
addr_state_NJ,0.0038980549839415495
pub_rec,0.0036253127022470386
addr_state_SC,0.003625108105973547
purpose_credit_card,0.0034780096716322704
sub_grade_C2,0.002853680493379462
addr_state_IL,0.0028166693950355853
total_bal_ex_mort,0.002453125605544351
addr_state_TX,0.00232945130869763
verification_status_Verified,0.0020458663749209796
sub_grade_D1,0.0018888633470307082
addr_state_FL,0.001805961686469814
addr_state_NV,0.0017771661542066869
addr_state_KS,0.0017249116582657453
addr_state_OK,0.001680949710868845
collections_12_mths_ex_med,0.0016641375536339236
addr_state_NH,0.0015616839968425889
num_tl_90g_dpd_24m,0.0015345931237266022
addr_state_AL,0.0014339407270958875
addr_state_LA,0.00121091689504257
addr_state_WV,0.001185026146760928
sub_grade_B4,0.0010057539204019127
num_op_rev_tl,0.0009170917226829497
pub_rec_bankruptcies,0.0008520649164312153
tot_coll_amt,0.0007707034497371279
home_ownership_OWN,0.0007491099410936955
purpose_other,0.000721252641923939
addr_state_AR,0.0006750056622537525
addr_state_DC,0.000571644550047114
purpose_debt_consolidation,0.0005697242553928003
num_sats,0.0005511186419863726
addr_state_WI,0.0005510300541771724
addr_state_VT,0.0005506375760469525
sub_grade_C4,0.0005389453836848576
purpose_moving,0.0005005674234078459
addr_state_MD,0.0004729312084384925
addr_state_MS,0.00045506426246053256
sub_grade_B2,0.0004018809631813407
sub_grade_A4,0.00039189682811880956
sub_grade_D2,0.00037687771394783327
open_acc,0.00036946074078368776
sub_grade_C5,0.0003499145674895635
grade_F,0.0003238893582489206
addr_state_CT,0.0003098749259633386
grade_E,0.0002987088782415186
sub_grade_B5,0.0002823840629313204
purpose_wedding,0.00025528550484163503
sub_grade_C3,0.0002486366366975226
purpose_medical,0.0002479984353503972
sub_grade_B3,0.00024603881042512357
addr_state_TN,0.00018146876140494694
purpose_vacation,0.0001784872535685499
sub_grade_A2,0.0001362781372658469
addr_state_WY,9.943795337872475e-05
addr_state_VA,9.935960736907647e-05
addr_state_KY,4.972327122882935e-05
addr_state_MT,3.793091232447346e-05
sub_grade_E1,3.648362476336924e-05
addr_state_MO,3.54797159950682e-05
sub_grade_E5,3.4634765429528293e-05
tax_liens,2.322836337179001e-05
addr_state_NM,1.831059087597759e-05
addr_state_MN,1.6022883712219074e-05
sub_grade_F2,9.636371130235082e-06
addr_state_SD,7.278244405052407e-06
fico_range_high,0.0
chargeoff_within_12_mths,0.0
delinq_amnt,0.0
policy_code,0.0
acc_now_delinq,0.0
num_tl_120dpd_2m,0.0
grade_G,0.0
sub_grade_A3,0.0
sub_grade_B1,0.0
sub_grade_A5,0.0
num_tl_30dpd,0.0
sub_grade_D5,0.0
sub_grade_D4,0.0
sub_grade_D3,0.0
sub_grade_E2,0.0
sub_grade_E4,0.0
sub_grade_E3,0.0
sub_grade_F1,0.0
sub_grade_F3,0.0
home_ownership_OTHER,0.0
home_ownership_NONE,0.0
sub_grade_G1,0.0
sub_grade_F5,0.0
sub_grade_G2,0.0
sub_grade_G3,0.0
sub_grade_G4,0.0
sub_grade_G5,0.0
sub_grade_F4,0.0
purpose_educational,0.0
purpose_renewable_energy,0.0
purpose_major_purchase,0.0
purpose_house,0.0
purpose_home_improvement,0.0
addr_state_IA,0.0
addr_state_AZ,0.0
addr_state_ME,0.0
addr_state_MA,0.0
addr_state_IN,0.0
addr_state_ID,0.0
addr_state_DE,0.0
addr_state_HI,0.0
addr_state_MI,0.0
addr_state_NE,0.0
addr_state_OH,0.0
