month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate
2007-06-01,1,0,0,0,0.0,0.0
2007-07-01,30,0,0,0,0.0,0.0
2007-08-01,33,7,5,2,0.21212121212121213,0.7142857142857143
2007-09-01,18,3,3,0,0.16666666666666666,1.0
2007-10-01,47,10,8,2,0.2127659574468085,0.8
2007-11-01,37,7,7,0,0.1891891891891892,1.0
2007-12-01,85,18,15,3,0.21176470588235294,0.8333333333333334
2008-01-01,171,31,27,4,0.18128654970760233,0.8709677419354839
2008-02-01,174,25,19,6,0.14367816091954022,0.76
2008-03-01,236,40,37,3,0.1694915254237288,0.925
2008-04-01,155,27,26,1,0.17419354838709677,0.9629629629629629
2008-05-01,71,10,10,0,0.14084507042253522,1.0
2008-06-01,66,7,7,0,0.10606060606060606,1.0
2008-07-01,83,17,17,0,0.20481927710843373,1.0
2008-08-01,71,6,6,0,0.08450704225352113,1.0
2008-09-01,32,5,5,0,0.15625,1.0
2008-10-01,96,15,15,0,0.15625,1.0
2008-11-01,184,31,26,5,0.16847826086956522,0.8387096774193549
2008-12-01,223,33,26,7,0.14798206278026907,0.7878787878787878
2009-01-01,239,28,24,4,0.11715481171548117,0.8571428571428571
2009-02-01,260,34,26,8,0.13076923076923078,0.7647058823529411
2009-03-01,276,31,24,7,0.11231884057971014,0.7741935483870968
2009-04-01,290,40,33,7,0.13793103448275862,0.825
2009-05-01,319,42,40,2,0.13166144200626959,0.9523809523809523
2009-06-01,356,43,38,5,0.12078651685393259,0.8837209302325582
2009-07-01,374,47,39,8,0.12566844919786097,0.8297872340425532
2009-08-01,408,40,32,8,0.09803921568627451,0.8
2009-09-01,449,57,41,16,0.12694877505567928,0.7192982456140351
2009-10-01,545,87,72,15,0.1596330275229358,0.8275862068965517
2009-11-01,602,83,68,15,0.1378737541528239,0.8192771084337349
2009-12-01,598,62,47,15,0.10367892976588629,0.7580645161290323
2010-01-01,589,76,61,15,0.12903225806451613,0.8026315789473685
2010-02-01,627,63,47,16,0.10047846889952153,0.746031746031746
2010-03-01,737,69,61,8,0.09362279511533243,0.8840579710144928
2010-04-01,827,82,62,20,0.09915356711003627,0.7560975609756098
2010-05-01,920,125,80,45,0.1358695652173913,0.64
2010-06-01,1029,166,90,76,0.16132167152575316,0.5421686746987951
2010-07-01,1119,137,77,60,0.1224307417336908,0.5620437956204379
2010-08-01,1078,148,73,75,0.137291280148423,0.49324324324324326
2010-09-01,1087,175,91,84,0.1609935602575897,0.52
2010-10-01,1133,161,86,75,0.14210061782877317,0.5341614906832298
2010-11-01,1121,142,81,61,0.12667261373773417,0.5704225352112676
2010-12-01,1269,143,85,58,0.11268715524034673,0.5944055944055944
2011-01-01,1380,186,108,78,0.13478260869565217,0.5806451612903226
2011-02-01,1298,169,87,82,0.13020030816640987,0.514792899408284
2011-03-01,1448,210,98,112,0.14502762430939226,0.4666666666666667
2011-04-01,1563,222,120,102,0.1420345489443378,0.5405405405405406
2011-05-01,1704,290,125,165,0.17018779342723006,0.43103448275862066
2011-06-01,1835,271,139,132,0.14768392370572206,0.5129151291512916
2011-07-01,1875,282,142,140,0.1504,0.5035460992907801
2011-08-01,1934,271,141,130,0.14012409513960702,0.5202952029520295
2011-09-01,2067,308,159,149,0.1490082244799226,0.5162337662337663
2011-10-01,2118,313,175,138,0.147780925401322,0.5591054313099042
2011-11-01,2232,344,163,181,0.15412186379928317,0.4738372093023256
2011-12-01,2267,431,194,237,0.1901191001323335,0.45011600928074247
2012-01-01,2602,440,243,197,0.16910069177555725,0.5522727272727272
2012-02-01,2560,421,253,168,0.164453125,0.6009501187648456
2012-03-01,2914,443,255,188,0.15202470830473575,0.5756207674943566
2012-04-01,3230,496,261,235,0.15356037151702787,0.5262096774193549
2012-05-01,3400,569,299,270,0.1673529411764706,0.5254833040421792
2012-06-01,3817,714,322,392,0.18705789887346083,0.45098039215686275
2012-07-01,4627,819,373,446,0.17700453857791226,0.4554334554334554
2012-08-01,5419,884,413,471,0.1631297287322384,0.4671945701357466
2012-09-01,6087,951,463,488,0.15623459832429767,0.4868559411146162
2012-10-01,6263,962,483,479,0.15360051093725052,0.502079002079002
2012-11-01,6382,1029,494,535,0.16123472265747416,0.4800777453838678
2012-12-01,6066,916,430,486,0.15100560501153973,0.46943231441048033
2013-01-01,6872,1050,493,557,0.15279394644935973,0.4695238095238095
2013-02-01,7561,1160,533,627,0.1534188599391615,0.45948275862068966
2013-03-01,8273,1200,541,659,0.14505016318143357,0.4508333333333333
2013-04-01,9419,1504,648,856,0.1596772481155112,0.4308510638297872
2013-05-01,10350,1720,711,1009,0.16618357487922705,0.41337209302325584
2013-06-01,10899,1761,735,1026,0.16157445637214424,0.41737649063032367
2013-07-01,11910,1854,808,1046,0.15566750629722922,0.43581445523193096
2013-08-01,12674,1941,838,1103,0.15314817737099573,0.431736218444101
2013-09-01,12987,2052,845,1207,0.158004158004158,0.4117933723196881
2013-10-01,14127,2217,903,1314,0.15693353153535783,0.40730717185385656
2013-11-01,14720,2266,956,1310,0.15394021739130434,0.42188879082082964
2013-12-01,15012,2299,923,1376,0.1531441513455902,0.40147890387124835
2014-01-01,15614,2477,991,1486,0.1586396823363648,0.40008074283407347
2014-02-01,15205,2525,967,1558,0.16606379480434066,0.382970297029703
2014-03-01,16194,2749,997,1752,0.16975422996171421,0.3626773372135322
2014-04-01,18172,3320,1183,2137,0.18269865727492846,0.35632530120481926
2014-05-01,18098,3321,1174,2147,0.18350093933031275,0.3535079795242397
2014-06-01,16186,3125,1068,2057,0.19306808352897567,0.34176
2014-07-01,27547,5174,1758,3416,0.18782444549315716,0.33977580208735986
2014-08-01,17731,3337,1109,2228,0.18820145507867578,0.33233443212466285
2014-09-01,9960,1879,644,1235,0.18865461847389559,0.3427354976051091
2014-10-01,36072,7103,2281,4822,0.1969117320913728,0.3211319160917922
2014-11-01,22957,4421,1451,2970,0.19257742736420264,0.3282062881700973
2014-12-01,9367,1731,627,1104,0.18479769403224083,0.36221837088388215
2015-01-01,32216,6458,2201,4257,0.2004593990563695,0.3408175905853205
2015-02-01,21656,4198,1382,2816,0.19384927964536386,0.32920438303954264
2015-03-01,22931,4779,1546,3233,0.20840783219222886,0.3234986398828207
2015-04-01,31785,6509,2144,4365,0.20478212993550418,0.329390075280381
2015-05-01,28711,5882,1945,3937,0.20486921389014665,0.3306698401904114
2015-06-01,25446,5294,1708,3586,0.20804841625402815,0.3226293917642614
2015-07-01,41053,8300,2652,5648,0.20217767276447518,0.31951807228915663
2015-08-01,31701,6339,2040,4299,0.199962146304533,0.3218173213440606
2015-09-01,25150,5180,1704,3476,0.20596421471172963,0.32895752895752894
2015-10-01,42986,8188,2999,5189,0.1904806215977295,0.3662677088422081
2015-11-01,32908,6540,2305,4235,0.19873586969733803,0.35244648318042815
2015-12-01,39003,8137,2797,5340,0.20862497756582826,0.3437384785547499
2016-01-01,28397,5462,2068,3394,0.1923442617177871,0.37861589161479314
2016-02-01,34599,6734,2609,4125,0.19462990259834098,0.3874368874368874
2016-03-01,48938,10595,3979,6616,0.21649842658057133,0.3755545068428504
2016-04-01,24105,6174,2467,3707,0.25612943372744246,0.3995788791707159
2016-05-01,18110,4741,1996,2745,0.26178906681391495,0.42100822611263444
2016-06-01,20734,5040,2264,2776,0.24307900067521945,0.4492063492063492
2016-07-01,21724,5781,2335,3446,0.26611121340452953,0.4039093582425186
2016-08-01,22258,5822,2432,3390,0.2615688741126786,0.41772586739951906
2016-09-01,16909,4203,1677,2526,0.24856585250458335,0.39900071377587437
2016-10-01,18957,4256,1857,2399,0.22450809727277524,0.4363251879699248
2016-11-01,18998,4612,1945,2667,0.2427623960416886,0.4217259323503903
2016-12-01,19376,4832,1936,2896,0.24938067712634188,0.40066225165562913
2017-01-01,16395,3720,1517,2203,0.22689844464775846,0.40779569892473116
2017-02-01,13468,3127,1287,1840,0.23217998217998218,0.4115765909817717
2017-03-01,17011,3904,1618,2286,0.22949855975545236,0.4144467213114754
2017-04-01,13104,3119,1237,1882,0.2380189255189255,0.3966014748316768
2017-05-01,16153,3868,1639,2229,0.23946016219897232,0.4237331954498449
2017-06-01,15235,3604,1491,2113,0.2365605513619954,0.4137069922308546
2017-07-01,14959,3601,1388,2213,0.24072464736947657,0.38544848653151903
2017-08-01,15489,3547,1470,2077,0.22900122667699657,0.41443473357767124
2017-09-01,13406,3350,1133,2217,0.24988810980158138,0.3382089552238806
2017-10-01,11926,2649,1049,1600,0.22211973838671809,0.395998489996225
2017-11-01,12112,2532,1088,1444,0.20904887714663145,0.4296998420221169
2017-12-01,10063,2148,860,1288,0.21345523203815958,0.40037243947858475
2018-01-01,8600,1674,702,972,0.19465116279069766,0.41935483870967744
2018-02-01,6752,1316,557,759,0.19490521327014218,0.42325227963525835
2018-03-01,7178,1397,579,818,0.19462245750905544,0.41445955619183966
2018-04-01,6924,1362,554,808,0.19670710571923744,0.4067547723935389
2018-05-01,6632,1203,507,696,0.18139324487334138,0.42144638403990026
2018-06-01,4893,782,311,471,0.15982015123646026,0.3976982097186701
2018-07-01,4317,530,224,306,0.12277044243687746,0.4226415094339623
2018-08-01,3569,315,124,191,0.08826001681143178,0.39365079365079364
2018-09-01,2423,173,72,101,0.07139909203466777,0.4161849710982659
2018-10-01,2150,85,49,36,0.03953488372093023,0.5764705882352941
2018-11-01,1632,24,19,5,0.014705882352941176,0.7916666666666666
2018-12-01,1248,13,10,3,0.010416666666666666,0.7692307692307693
