Macro_Variable,realized_default_rate_Pearson_Coef,realized_default_rate_Pearson_Pval,realized_default_rate_Pearson_CI_Lower,realized_default_rate_Pearson_CI_Upper,realized_default_rate_Spearman_Coef,realized_default_rate_Spearman_Pval,realized_default_rate_Spearman_CI_Lower,realized_default_rate_Spearman_CI_Upper,stealth_default_rate_Pearson_Coef,stealth_default_rate_Pearson_Pval,stealth_default_rate_Pearson_CI_Lower,stealth_default_rate_Pearson_CI_Upper,stealth_default_rate_Spearman_Coef,stealth_default_rate_Spearman_Pval,stealth_default_rate_Spearman_CI_Lower,stealth_default_rate_Spearman_CI_Upper
macro_stress_score,-0.3353833507163767,5.4385448656278153e-05,-0.45499978611213876,-0.22538694809723483,-0.5166471725603783,7.483221493805703e-11,-0.6278319828535367,-0.3876273781327145,0.7017190972504537,6.473251395100288e-22,0.6328419238492342,0.7829521680524976,0.6699145207950022,1.9207711953191527e-19,0.5644271915977516,0.7507094862383568
uncertainty_pressure,-0.3060606911666225,0.0002481623080505785,-0.5766808081301132,-0.05498964306746964,-0.5279127143083688,2.41967709751524e-11,-0.6507740140861635,-0.3753501695382515,0.4683646110603811,6.086737708767243e-09,0.29805571900085504,0.6236291720153798,0.4549167950537082,1.843819747352306e-08,0.29790325497265263,0.5877980332377905
liquidity_disruption,0.015258000531938223,0.8585069283835668,-0.06624514315527251,0.1122727503554408,-0.06650651935617592,0.4366389029513237,-0.22487896228563042,0.08274270398712087,0.4216506481902119,2.3483199673919896e-07,0.3057366968947406,0.537288348823995,0.4114762444755464,4.84991488612804e-07,0.24142892939109523,0.5551387349810885
unemployment_rate,-0.3811336463564291,3.6767629316623543e-06,-0.6051523837009163,-0.17997561195833758,-0.5405221956520085,6.502497173633094e-12,-0.7015373573670843,-0.35604566254988684,0.3057875006404366,0.00025151510282545513,0.1577556944732494,0.4524138410092381,0.4325428385451866,1.0516810510266539e-07,0.2927082763708392,0.5653104894326118
fed_funds_rate,-0.1825977902099686,0.03143848416788098,-0.41346619670106227,0.05895968103992895,0.09074272014759298,0.2880661601651944,-0.08269688561948266,0.2670641716259809,0.24707885508364597,0.0033644410488904808,-0.04856802062434691,0.5276006907731837,0.2692788458008431,0.0013482534246800956,0.10809258812597251,0.4294498062369912
cpi_inflation,-0.08229826808101878,0.3354695229971929,-0.22358355233161467,0.0521167228696891,-0.12472881882335707,0.14347524390928004,-0.2849647199032073,0.0446929566910345,0.2527850309176164,0.0026795135064610026,0.01200374441718323,0.4842439642833644,0.313886897951258,0.00016801601425393625,0.12549497150986913,0.49770915738570054
treasury_spread,-0.1948287088794064,0.021543350608513315,-0.48257000852514,0.048562970095130636,-0.463328261604136,9.270150870908655e-09,-0.6429991259896697,-0.2653232162741816,0.24043372795431733,0.004357925966601202,0.061542165704779446,0.4009058016542456,0.28682544815849853,0.0006186460714676413,0.12073878474116904,0.4278941778291217
recession_indicator,-0.176893195782239,0.03723623336715422,-0.30948397116134113,-0.05548947344937685,-0.24191193572655328,0.0041165991249573364,-0.3633227002511047,-0.09445404819740714,0.6691299654384565,2.1908547288192676e-19,0.5339419393907888,0.7750196518550423,0.5410149886614493,6.170124652271794e-12,0.42646302306130995,0.6352578064182227
spy_monthly_return,0.09414897266129688,0.2702759794219348,-0.06538504147696236,0.23815428183082174,-0.030886167581666034,0.718144008158975,-0.1992391595436473,0.1286552708760311,-0.1423829990927264,0.0945160247428624,-0.3361102991026437,0.0688562512885397,-0.027932886124951428,0.7441113688077113,-0.2043326695029482,0.15526012461209918
spy_monthly_vol,-0.23172561304266054,0.006054821325359506,-0.36832823452147,-0.12727554969066865,-0.3414838497793271,3.887842848691175e-05,-0.4895854509580281,-0.174747324502328,0.4959168117686069,5.380609879586166e-10,0.3925228778300405,0.6022895295216157,0.4922699151509419,7.511104895444177e-10,0.352354894820377,0.6171301583944921
vix_monthly_mean,-0.2892420864122215,0.0005534847859190174,-0.43168221515464145,-0.17691307876518536,-0.460202556421356,1.1995016661017368e-08,-0.5878809825627117,-0.3138919844977709,0.58879710143832,2.4725991305400155e-14,0.5153435750505736,0.6757061511839648,0.675050334149994,8.037220752456921e-20,0.5687050131660368,0.7500001791546625
