Feature,Group A: Good Borrowers Mean,Group A: Good Borrowers Median,Group A: Good Borrowers P10,Group A: Good Borrowers P90,Group B: Captured Defaulters Mean,Group B: Captured Defaulters Median,Group B: Captured Defaulters P10,Group B: Captured Defaulters P90,Group C: Stealth Defaulters Mean,Group C: Stealth Defaulters Median,Group C: Stealth Defaulters P10,Group C: Stealth Defaulters P90
FICO,710.058502432657,705.0,665.0,765.0,692.4090311266988,685.0,660.0,735.0,709.8607326672721,700.0,665.0,770.0
DTI (%),18.205716150468735,16.44,5.53,30.63,21.540620341955282,19.98,6.031000000000001,35.07,16.936745382985166,15.59,3.7840000000000007,29.818
Annual Income ($),81429.2989322416,68000.0,34000.0,135000.0,69223.99128890836,57352.0,28807.2,115000.0,78498.91516197396,65000.0,31200.0,135000.0
Revolving Utilization (%),38.63020291918833,35.4,6.740000000000054,76.0,44.80666374397194,44.1,9.8,80.8,41.10708446866485,38.6,5.720000000000005,79.6
Loan Amount ($),14448.618132194139,12000.0,3675.0,30000.0,18535.812143796582,17000.0,7000.0,34135.00000000008,14833.908567968514,10000.0,4000.0,35000.0
Credit History Length (Years),16.018386973132465,14.496919917864476,7.41409993155373,26.250513347022586,14.68836482431874,13.166324435318275,5.9986310746064335,24.336481861738537,16.150469063135727,14.505133470225873,6.66776180698152,27.5854893908282
Delinquency Count (2 Years),0.2325382698469206,0.0,0.0,1.0,0.26830337571240687,0.0,0.0,1.0,0.22676354828943385,0.0,0.0,1.0
Public Records,0.15559511095288953,0.0,0.0,1.0,0.18281455501972818,0.0,0.0,1.0,0.14259763851044505,0.0,0.0,1.0
Open Credit Lines,11.507559036430521,10.0,5.0,19.0,11.169443226654975,10.0,5.0,19.0,10.320617620345141,9.0,4.0,18.0
Employment Length (Years),5.5500415331672,5.0,0.5,10.0,4.6526742656729505,4.0,0.0,10.0,5.293823796548592,5.0,0.0,10.0
Total High Credit Limit ($),203491.62719829121,144700.0,30309.800000000003,449791.19999999995,130149.61157387111,74515.0,20368.5,327622.30000000005,175601.92461398727,102969.0,22500.0,424451.40000000026
