Decile,Total Borrowers,Total Defaults,Stealth Defaulters,Captured Defaulters,Stealth Share of Decile Defaults,Stealth Share of Total Stealth
D1,5000,151,151,0,0.9999999999337748,0.045716015743125296
D2,5000,298,298,0,0.999999999966443,0.09022101120166448
D3,5000,387,387,0,0.9999999999741602,0.11716621253370522
D4,5000,485,485,0,0.9999999999793814,0.14683620950606469
D5,5000,642,642,0,0.9999999999844237,0.19436875567606912
D6,5000,741,741,0,0.9999999999865047,0.22434150771957512
D7,5000,929,599,330,0.6447793326087753,0.18135028761676855
D8,5000,1090,0,1090,0.0,0.0
D9,5000,1355,0,1355,0.0,0.0
D10,5000,1787,0,1787,0.0,0.0
